file,ans
0,BEYPRC
1,VGWZRP
2,MMIBKM
3,VPELBK
4,MIMSAD
5,YNFYWK
6,OVPVST
7,GSVUHZ
8,DCSZXE
9,FBINWB
10,VVPOYF
11,GZOHXH
12,TECGOH
13,PBAYPO
14,HXHDCI
15,EIEISN
16,UARWXM
17,AEQHWC
18,LHQAVE
19,GYLTLB
20,VISDMI
21,PVQENS
22,VXWCOD
23,NFBREG
24,EAODXG
25,EADKYP
26,UTQYDO
27,BLNRTP
28,VIPPAC
29,NQUFQF
30,YUSSST
31,DWYPTE
32,FLLFMX
33,AWKMKV
34,QQRNMZ
35,KNTLTM
36,KNISVV
37,WSBZQC
38,WFSWPC
39,FZQSPT
40,DMGLCD
41,ZVIYYP
42,LKUJCI
43,BFAKEN
44,FSJZOO
45,LUQWQZ
46,WAHWOS
47,BHLMGQ
48,XEIDHX
49,SPIKGV
50,JWSGBE
51,JWHNDN
52,YDWRED
53,LYKAUG
54,FUNYBT
55,BQMVAO
56,UNPTHB
57,KWXKGX
58,LVMRHF
59,DNLLGV
60,TVTCEQ
61,ORYGJR
62,ELEHLW
63,GYSCBD
64,KADHIV
65,UGZOMV
66,KOHFKQ
67,WTALGX
68,ELZKTM
69,AWUKMD
70,UHYXPH
71,CYXWCW
72,AKNPPH
73,LPLCRU
74,OSUBAY
75,JPSSCF
76,NQDWJX
77,GOEOTW
78,DZAUJB
79,SJHFKI
80,RIBTRX
81,JUJIDU
82,VAVBWG
83,EEXVCB
84,QZMFSE
85,JHRUIH
86,NJCYPZ
87,DSLPNU
88,HVPGRR
89,KYZFBV
90,RPCLTR
91,LNYWYJ
92,HXAITV
93,TSOSJY
94,QCPEEK
95,DLBWLY
96,LCAVYN
97,FZCTFA
98,IOJCSN
99,LFVPYI
100,BRBMDM
101,IZFRGN
102,BRBMDM
103,UXAABJ
104,SHWGRO
105,GMMLFD
106,IMWMBF
107,GVVXPY
108,ADVGAU
109,FRZOFP
110,NGEZVY
111,VJBJLX
112,JCTEWC
113,WFNQPX
114,EIKZGV
115,DHENNL
116,XOLJBC
117,FRHSRA
118,WDPHDX
119,ZGZFMA
120,OLHYXU
121,GIPDKO
122,GVGAIO
123,DTZKEO
124,PYSQAV
125,JUUOHI
126,CFZCLM
127,PJTOFH
128,PJIVGQ
129,IQOLXT
130,DCNSVR
131,DNAJAJ
132,EATMWX
133,GADMSZ
134,KBOQZR
135,JMGPJP
136,UGZFEZ
137,RRWLUE
138,LOYJCS
139,XTRPYZ
140,ILGAAB
141,EVINVM
142,BGCNOD
143,PPQKSF
144,NZMQIK
145,LLCJVV
146,QNJGXG
147,KKLEET
148,ITJPSM
149,GFZIFX
150,JSNEVE
151,YMZMCP
152,ICUKHM
153,MEFOOE
154,RGMLQP
155,SGBSRY
156,XTFAWS
157,FLDZJH
158,RQWGFO
159,RDNCDO
160,MPNJCM
161,HKSNGN
162,PBQMTC
163,VFQWST
164,PQUKVX
165,JMXIDK
166,ZVFZBF
167,EJKGGA
168,EXBDEA
169,FWQKGI
170,BGRXCU
171,KYLPJD
172,RPPVBY
173,IWZRXI
174,BGXULQ
175,YEWPXM
176,EGCMZX
177,JIJKAJ
178,AGOJPO
179,CUBYII
180,ROMHPS
181,YRNXLX
182,BSYBSP
183,YETBLG
184,WQJUYQ
185,TPIPLN
186,ZTIZJD
187,CUYKWC
188,MKTIBY
189,UCQBQZ
190,JJFFSP
191,HKXNBR
192,GVPMMP
193,EVHUWR
194,IYMLAO
195,KNYBSH
196,ZVLZWJ
197,FMPFOF
198,ZUPNZB
199,HLOMMQ
